year,month,circle,type_of_connection,service_provider,value,date
2009,June,Uttar Pradesh (West),wireless,Aircel,132879,6/1/2009
2009,July,Uttar Pradesh (West),wireless,Aircel,182439,7/1/2009
2009,August,Uttar Pradesh (West),wireless,Aircel,229240,8/1/2009
2009,September,Uttar Pradesh (West),wireless,Aircel,283090,9/1/2009
2009,October,Uttar Pradesh (West),wireless,Aircel,454974,10/1/2009
2009,November,Uttar Pradesh (West),wireless,Aircel,618993,11/1/2009
2009,December,Uttar Pradesh (West),wireless,Aircel,626143,12/1/2009
2010,January,Uttar Pradesh (West),wireless,Aircel,672262,1/1/2010
2013,January,Uttar Pradesh (West),wireless,Aircel,1409150,1/1/2013
2013,February,Uttar Pradesh (West),wireless,Aircel,909150,2/1/2013
2013,March,Uttar Pradesh (West),wireless,Aircel,559150,3/1/2013
2013,April,Uttar Pradesh (West),wireless,Aircel,309150,4/1/2013
2013,May,Uttar Pradesh (West),wireless,Aircel,209150,5/1/2013
2013,June,Uttar Pradesh (West),wireless,Aircel,109150,6/1/2013
2013,July,Uttar Pradesh (West),wireless,Aircel,109150,7/1/2013
2013,August,Uttar Pradesh (West),wireless,Aircel,109150,8/1/2013
2013,September,Uttar Pradesh (West),wireless,Aircel,109150,9/1/2013
2013,October,Uttar Pradesh (West),wireless,Aircel,109150,10/1/2013
2013,November,Uttar Pradesh (West),wireless,Aircel,109150,11/1/2013
2013,December,Uttar Pradesh (West),wireless,Aircel,109150,12/1/2013
2014,January,Uttar Pradesh (West),wireless,Aircel,109150,1/1/2014
2014,February,Uttar Pradesh (West),wireless,Aircel,109150,2/1/2014
2014,March,Uttar Pradesh (West),wireless,Aircel,109150,3/1/2014
2014,April,Uttar Pradesh (West),wireless,Aircel,109150,4/1/2014
2014,May,Uttar Pradesh (West),wireless,Aircel,109150,5/1/2014
2014,June,Uttar Pradesh (West),wireless,Aircel,109150,6/1/2014
2014,July,Uttar Pradesh (West),wireless,Aircel,109150,7/1/2014
2014,August,Uttar Pradesh (West),wireless,Aircel,111903,8/1/2014
2014,September,Uttar Pradesh (West),wireless,Aircel,120935,9/1/2014
2014,October,Uttar Pradesh (West),wireless,Aircel,134408,10/1/2014
2014,November,Uttar Pradesh (West),wireless,Aircel,151100,11/1/2014
2014,December,Uttar Pradesh (West),wireless,Aircel,164141,12/1/2014
2015,January,Uttar Pradesh (West),wireless,Aircel,179773,1/1/2015
2015,February,Uttar Pradesh (West),wireless,Aircel,205634,2/1/2015
2015,March,Uttar Pradesh (West),wireless,Aircel,228459,3/1/2015
2015,April,Uttar Pradesh (West),wireless,Aircel,243729,4/1/2015
2015,May,Uttar Pradesh (West),wireless,Aircel,283230,5/1/2015
2015,June,Uttar Pradesh (West),wireless,Aircel,315667,6/1/2015
2015,July,Uttar Pradesh (West),wireless,Aircel,358750,7/1/2015
2015,August,Uttar Pradesh (West),wireless,Aircel,399815,8/1/2015
2015,September,Uttar Pradesh (West),wireless,Aircel,472183,9/1/2015
2015,October,Uttar Pradesh (West),wireless,Aircel,496104,10/1/2015
2015,November,Uttar Pradesh (West),wireless,Aircel,518934,11/1/2015
2015,December,Uttar Pradesh (West),wireless,Aircel,569880,12/1/2015
2016,January,Uttar Pradesh (West),wireless,Aircel,598023,1/1/2016
2016,February,Uttar Pradesh (West),wireless,Aircel,648563,2/1/2016
2016,March,Uttar Pradesh (West),wireless,Aircel,680246,3/1/2016
2016,April,Uttar Pradesh (West),wireless,Aircel,697207,4/1/2016
2016,May,Uttar Pradesh (West),wireless,Aircel,725738,5/1/2016
2016,June,Uttar Pradesh (West),wireless,Aircel,731978,6/1/2016
2016,July,Uttar Pradesh (West),wireless,Aircel,747219,7/1/2016
2016,August,Uttar Pradesh (West),wireless,Aircel,761217,8/1/2016
2016,September,Uttar Pradesh (West),wireless,Aircel,785317,9/1/2016
2016,October,Uttar Pradesh (West),wireless,Aircel,799081,10/1/2016
2016,November,Uttar Pradesh (West),wireless,Aircel,811481,11/1/2016
2016,December,Uttar Pradesh (West),wireless,Aircel,844454,12/1/2016
2017,January,Uttar Pradesh (West),wireless,Aircel,852409,1/1/2017
2017,February,Uttar Pradesh (West),wireless,Aircel,860287,2/1/2017
2017,March,Uttar Pradesh (West),wireless,Aircel,871275,3/1/2017
2017,April,Uttar Pradesh (West),wireless,Aircel,873242,4/1/2017
2017,May,Uttar Pradesh (West),wireless,Aircel,881255,5/1/2017
2017,June,Uttar Pradesh (West),wireless,Aircel,879065,6/1/2017
2017,July,Uttar Pradesh (West),wireless,Aircel,872207,7/1/2017
2017,August,Uttar Pradesh (West),wireless,Aircel,871716,8/1/2017
2017,September,Uttar Pradesh (West),wireless,Aircel,866583,9/1/2017
2017,October,Uttar Pradesh (West),wireless,Aircel,867914,10/1/2017
2017,November,Uttar Pradesh (West),wireless,Aircel,840973,11/1/2017
2017,December,Uttar Pradesh (West),wireless,Aircel,566634,12/1/2017
2018,January,Uttar Pradesh (West),wireless,Aircel,268618,1/1/2018
2018,February,Uttar Pradesh (West),wireless,Aircel,268618,2/1/2018
2018,March,Uttar Pradesh (West),wireless,Aircel,268618,3/1/2018
2018,April,Uttar Pradesh (West),wireless,Aircel,268618,4/1/2018
2009,January,West Bengal,wireless,Aircel,1046254,1/1/2009
2009,February,West Bengal,wireless,Aircel,1046363,2/1/2009
2009,March,West Bengal,wireless,Aircel,1156675,3/1/2009
2009,April,West Bengal,wireless,Aircel,1216235,4/1/2009
2009,May,West Bengal,wireless,Aircel,1295658,5/1/2009
2009,June,West Bengal,wireless,Aircel,1360315,6/1/2009
2009,July,West Bengal,wireless,Aircel,1427879,7/1/2009
2009,August,West Bengal,wireless,Aircel,1493630,8/1/2009
2009,September,West Bengal,wireless,Aircel,1592744,9/1/2009
2009,October,West Bengal,wireless,Aircel,1726187,10/1/2009
2009,November,West Bengal,wireless,Aircel,1847018,11/1/2009
2009,December,West Bengal,wireless,Aircel,2000770,12/1/2009
2010,January,West Bengal,wireless,Aircel,2034483,1/1/2010
2013,January,West Bengal,wireless,Aircel,3053462,1/1/2013
2013,February,West Bengal,wireless,Aircel,3059738,2/1/2013
2013,March,West Bengal,wireless,Aircel,3011255,3/1/2013
2013,April,West Bengal,wireless,Aircel,3047050,4/1/2013
2013,May,West Bengal,wireless,Aircel,3176264,5/1/2013
2013,June,West Bengal,wireless,Aircel,3176579,6/1/2013
2013,July,West Bengal,wireless,Aircel,3165682,7/1/2013
2013,August,West Bengal,wireless,Aircel,3166750,8/1/2013
2013,September,West Bengal,wireless,Aircel,3082883,9/1/2013
2013,October,West Bengal,wireless,Aircel,3131142,10/1/2013
2013,November,West Bengal,wireless,Aircel,3301864,11/1/2013
2013,December,West Bengal,wireless,Aircel,3363082,12/1/2013
2014,January,West Bengal,wireless,Aircel,3439593,1/1/2014
2014,February,West Bengal,wireless,Aircel,3598434,2/1/2014
2014,March,West Bengal,wireless,Aircel,3756304,3/1/2014
2014,April,West Bengal,wireless,Aircel,3875841,4/1/2014
2014,May,West Bengal,wireless,Aircel,3963586,5/1/2014
2014,June,West Bengal,wireless,Aircel,4083779,6/1/2014
2014,July,West Bengal,wireless,Aircel,4153291,7/1/2014
2014,August,West Bengal,wireless,Aircel,4245931,8/1/2014
2014,September,West Bengal,wireless,Aircel,4354677,9/1/2014
2014,October,West Bengal,wireless,Aircel,4426517,10/1/2014
2014,November,West Bengal,wireless,Aircel,4545114,11/1/2014
2014,December,West Bengal,wireless,Aircel,4661966,12/1/2014
2015,January,West Bengal,wireless,Aircel,4715788,1/1/2015
2015,February,West Bengal,wireless,Aircel,4765280,2/1/2015
2015,March,West Bengal,wireless,Aircel,4795856,3/1/2015
2015,April,West Bengal,wireless,Aircel,4833206,4/1/2015
2015,May,West Bengal,wireless,Aircel,4939553,5/1/2015
2015,June,West Bengal,wireless,Aircel,5001239,6/1/2015
2015,July,West Bengal,wireless,Aircel,5051117,7/1/2015
2015,August,West Bengal,wireless,Aircel,5120797,8/1/2015
2015,September,West Bengal,wireless,Aircel,5148139,9/1/2015
2015,October,West Bengal,wireless,Aircel,5163490,10/1/2015
2015,November,West Bengal,wireless,Aircel,5139514,11/1/2015
2015,December,West Bengal,wireless,Aircel,5149654,12/1/2015
2016,January,West Bengal,wireless,Aircel,5179761,1/1/2016
2016,February,West Bengal,wireless,Aircel,4885742,2/1/2016
2016,March,West Bengal,wireless,Aircel,4815881,3/1/2016
2016,April,West Bengal,wireless,Aircel,4850985,4/1/2016
2016,May,West Bengal,wireless,Aircel,4889912,5/1/2016
2016,June,West Bengal,wireless,Aircel,4917094,6/1/2016
2016,July,West Bengal,wireless,Aircel,4958238,7/1/2016
2016,August,West Bengal,wireless,Aircel,5016066,8/1/2016
2016,September,West Bengal,wireless,Aircel,5030171,9/1/2016
2016,October,West Bengal,wireless,Aircel,5072346,10/1/2016
2016,November,West Bengal,wireless,Aircel,5076993,11/1/2016
2016,December,West Bengal,wireless,Aircel,5096795,12/1/2016
2017,January,West Bengal,wireless,Aircel,5074199,1/1/2017
2017,February,West Bengal,wireless,Aircel,5112380,2/1/2017
2017,March,West Bengal,wireless,Aircel,5153469,3/1/2017
2017,April,West Bengal,wireless,Aircel,5158437,4/1/2017
2017,May,West Bengal,wireless,Aircel,5175029,5/1/2017
2017,June,West Bengal,wireless,Aircel,5157543,6/1/2017
2017,July,West Bengal,wireless,Aircel,5145981,7/1/2017
2017,August,West Bengal,wireless,Aircel,5081917,8/1/2017
2017,September,West Bengal,wireless,Aircel,5057207,9/1/2017
2017,October,West Bengal,wireless,Aircel,5040169,10/1/2017
2017,November,West Bengal,wireless,Aircel,5027759,11/1/2017
2017,December,West Bengal,wireless,Aircel,4776300,12/1/2017
2018,January,West Bengal,wireless,Aircel,4518390,1/1/2018
2018,February,West Bengal,wireless,Aircel,4416121,2/1/2018
2018,March,West Bengal,wireless,Aircel,4047977,3/1/2018
2018,April,West Bengal,wireless,Aircel,4047977,4/1/2018
2010,February,All India,wireless,Aircel/Dishnet,34860993,2/1/2010
2010,March,All India,wireless,Aircel/Dishnet,36861174,3/1/2010
2010,April,All India,wireless,Aircel/Dishnet,38469541,4/1/2010
2010,May,All India,wireless,Aircel/Dishnet,40079531,5/1/2010
2010,June,All India,wireless,Aircel/Dishnet,41679575,6/1/2010
2010,July,All India,wireless,Aircel/Dishnet,43296659,7/1/2010
2010,August,All India,wireless,Aircel/Dishnet,44906679,8/1/2010
2010,September,All India,wireless,Aircel/Dishnet,46515378,9/1/2010
2010,October,All India,wireless,Aircel/Dishnet,47519629,10/1/2010
2010,November,All India,wireless,Aircel/Dishnet,48738940,11/1/2010
2010,December,All India,wireless,Aircel/Dishnet,50168811,12/1/2010
2011,January,All India,wireless,Aircel/Dishnet,51831796,1/1/2011
2011,February,All India,wireless,Aircel/Dishnet,53500469,2/1/2011
2011,March,All India,wireless,Aircel/Dishnet,54843290,3/1/2011
2011,April,All India,wireless,Aircel/Dishnet,55950457,4/1/2011
2011,May,All India,wireless,Aircel/Dishnet,57061824,5/1/2011
2010,February,Andhra Pradesh,wireless,Aircel/Dishnet,862175,2/1/2010
2010,March,Andhra Pradesh,wireless,Aircel/Dishnet,975622,3/1/2010
2010,April,Andhra Pradesh,wireless,Aircel/Dishnet,1038569,4/1/2010
2010,May,Andhra Pradesh,wireless,Aircel/Dishnet,1130484,5/1/2010
2010,June,Andhra Pradesh,wireless,Aircel/Dishnet,1208200,6/1/2010
2010,July,Andhra Pradesh,wireless,Aircel/Dishnet,1310185,7/1/2010
2010,August,Andhra Pradesh,wireless,Aircel/Dishnet,1362975,8/1/2010
2010,September,Andhra Pradesh,wireless,Aircel/Dishnet,1534492,9/1/2010
2010,October,Andhra Pradesh,wireless,Aircel/Dishnet,1609697,10/1/2010
2010,November,Andhra Pradesh,wireless,Aircel/Dishnet,1686674,11/1/2010
2010,December,Andhra Pradesh,wireless,Aircel/Dishnet,1712612,12/1/2010
2011,January,Andhra Pradesh,wireless,Aircel/Dishnet,1780636,1/1/2011
2011,February,Andhra Pradesh,wireless,Aircel/Dishnet,1688621,2/1/2011
2011,March,Andhra Pradesh,wireless,Aircel/Dishnet,1691631,3/1/2011
2011,April,Andhra Pradesh,wireless,Aircel/Dishnet,1747837,4/1/2011
2011,May,Andhra Pradesh,wireless,Aircel/Dishnet,1655162,5/1/2011
2010,February,Assam,wireless,Aircel/Dishnet,2460675,2/1/2010
2010,March,Assam,wireless,Aircel/Dishnet,2521187,3/1/2010
2010,April,Assam,wireless,Aircel/Dishnet,2564584,4/1/2010
2010,May,Assam,wireless,Aircel/Dishnet,2677323,5/1/2010
2010,June,Assam,wireless,Aircel/Dishnet,2784416,6/1/2010
2010,July,Assam,wireless,Aircel/Dishnet,2821003,7/1/2010
2010,August,Assam,wireless,Aircel/Dishnet,2872757,8/1/2010
2010,September,Assam,wireless,Aircel/Dishnet,2896025,9/1/2010
2010,October,Assam,wireless,Aircel/Dishnet,2861607,10/1/2010
2010,November,Assam,wireless,Aircel/Dishnet,2909490,11/1/2010
2010,December,Assam,wireless,Aircel/Dishnet,2959315,12/1/2010
2011,January,Assam,wireless,Aircel/Dishnet,2922162,1/1/2011
2011,February,Assam,wireless,Aircel/Dishnet,3082905,2/1/2011
2011,March,Assam,wireless,Aircel/Dishnet,3155796,3/1/2011
2011,April,Assam,wireless,Aircel/Dishnet,3229643,4/1/2011
2011,May,Assam,wireless,Aircel/Dishnet,3314827,5/1/2011
2010,February,Bihar,wireless,Aircel/Dishnet,2947032,2/1/2010
2010,March,Bihar,wireless,Aircel/Dishnet,3205641,3/1/2010
2010,April,Bihar,wireless,Aircel/Dishnet,3440960,4/1/2010
2010,May,Bihar,wireless,Aircel/Dishnet,3559461,5/1/2010
2010,June,Bihar,wireless,Aircel/Dishnet,3663155,6/1/2010
2010,July,Bihar,wireless,Aircel/Dishnet,3822309,7/1/2010
2010,August,Bihar,wireless,Aircel/Dishnet,3899888,8/1/2010
2010,September,Bihar,wireless,Aircel/Dishnet,3999191,9/1/2010
2010,October,Bihar,wireless,Aircel/Dishnet,4080927,10/1/2010
2010,November,Bihar,wireless,Aircel/Dishnet,4140475,11/1/2010
2010,December,Bihar,wireless,Aircel/Dishnet,4178731,12/1/2010
2011,January,Bihar,wireless,Aircel/Dishnet,4277516,1/1/2011
2011,February,Bihar,wireless,Aircel/Dishnet,4351663,2/1/2011
2011,March,Bihar,wireless,Aircel/Dishnet,4539136,3/1/2011
2011,April,Bihar,wireless,Aircel/Dishnet,4613823,4/1/2011
2011,May,Bihar,wireless,Aircel/Dishnet,4711546,5/1/2011
2010,February,Delhi,wireless,Aircel/Dishnet,967991,2/1/2010
2010,March,Delhi,wireless,Aircel/Dishnet,1119338,3/1/2010
2010,April,Delhi,wireless,Aircel/Dishnet,1216975,4/1/2010
2010,May,Delhi,wireless,Aircel/Dishnet,1285615,5/1/2010
2010,June,Delhi,wireless,Aircel/Dishnet,1372403,6/1/2010
2010,July,Delhi,wireless,Aircel/Dishnet,1520333,7/1/2010
2010,August,Delhi,wireless,Aircel/Dishnet,1587591,8/1/2010
2010,September,Delhi,wireless,Aircel/Dishnet,1666398,9/1/2010
2010,October,Delhi,wireless,Aircel/Dishnet,1725682,10/1/2010
2010,November,Delhi,wireless,Aircel/Dishnet,1815850,11/1/2010
2010,December,Delhi,wireless,Aircel/Dishnet,1851911,12/1/2010
2011,January,Delhi,wireless,Aircel/Dishnet,1924710,1/1/2011
2011,February,Delhi,wireless,Aircel/Dishnet,1998419,2/1/2011
2011,March,Delhi,wireless,Aircel/Dishnet,2069914,3/1/2011
2011,April,Delhi,wireless,Aircel/Dishnet,2108254,4/1/2011
2011,May,Delhi,wireless,Aircel/Dishnet,2175676,5/1/2011
2010,February,Gujarat,wireless,Aircel/Dishnet,3485,2/1/2010
2010,March,Gujarat,wireless,Aircel/Dishnet,3485,3/1/2010
2010,April,Gujarat,wireless,Aircel/Dishnet,3485,4/1/2010
2010,May,Gujarat,wireless,Aircel/Dishnet,3485,5/1/2010
2010,June,Gujarat,wireless,Aircel/Dishnet,3485,6/1/2010
2010,July,Gujarat,wireless,Aircel/Dishnet,3485,7/1/2010
2010,August,Gujarat,wireless,Aircel/Dishnet,3485,8/1/2010
2010,September,Gujarat,wireless,Aircel/Dishnet,36947,9/1/2010
2010,October,Gujarat,wireless,Aircel/Dishnet,107286,10/1/2010
2010,November,Gujarat,wireless,Aircel/Dishnet,148463,11/1/2010
2010,December,Gujarat,wireless,Aircel/Dishnet,181592,12/1/2010
2011,January,Gujarat,wireless,Aircel/Dishnet,292377,1/1/2011
2011,February,Gujarat,wireless,Aircel/Dishnet,411316,2/1/2011
2011,March,Gujarat,wireless,Aircel/Dishnet,407313,3/1/2011
2011,April,Gujarat,wireless,Aircel/Dishnet,449831,4/1/2011
2011,May,Gujarat,wireless,Aircel/Dishnet,505043,5/1/2011
2010,February,Haryana,wireless,Aircel/Dishnet,26892,2/1/2010
2010,March,Haryana,wireless,Aircel/Dishnet,26892,3/1/2010
2010,April,Haryana,wireless,Aircel/Dishnet,26892,4/1/2010
2010,May,Haryana,wireless,Aircel/Dishnet,26892,5/1/2010
2010,June,Haryana,wireless,Aircel/Dishnet,26892,6/1/2010
2010,July,Haryana,wireless,Aircel/Dishnet,83515,7/1/2010
2010,August,Haryana,wireless,Aircel/Dishnet,125501,8/1/2010
2010,September,Haryana,wireless,Aircel/Dishnet,159346,9/1/2010
2010,October,Haryana,wireless,Aircel/Dishnet,207126,10/1/2010
2010,November,Haryana,wireless,Aircel/Dishnet,237732,11/1/2010
2010,December,Haryana,wireless,Aircel/Dishnet,272982,12/1/2010
2011,January,Haryana,wireless,Aircel/Dishnet,356315,1/1/2011
2011,February,Haryana,wireless,Aircel/Dishnet,418983,2/1/2011
2011,March,Haryana,wireless,Aircel/Dishnet,465644,3/1/2011
2011,April,Haryana,wireless,Aircel/Dishnet,489663,4/1/2011
2011,May,Haryana,wireless,Aircel/Dishnet,694995,5/1/2011
2010,February,Himachal Pradesh,wireless,Aircel/Dishnet,431110,2/1/2010
2010,March,Himachal Pradesh,wireless,Aircel/Dishnet,467276,3/1/2010
2010,April,Himachal Pradesh,wireless,Aircel/Dishnet,516534,4/1/2010
2010,May,Himachal Pradesh,wireless,Aircel/Dishnet,560372,5/1/2010
2010,June,Himachal Pradesh,wireless,Aircel/Dishnet,591385,6/1/2010
2010,July,Himachal Pradesh,wireless,Aircel/Dishnet,630290,7/1/2010
2010,August,Himachal Pradesh,wireless,Aircel/Dishnet,646879,8/1/2010
2010,September,Himachal Pradesh,wireless,Aircel/Dishnet,668579,9/1/2010
2010,October,Himachal Pradesh,wireless,Aircel/Dishnet,698678,10/1/2010
2010,November,Himachal Pradesh,wireless,Aircel/Dishnet,723799,11/1/2010
2010,December,Himachal Pradesh,wireless,Aircel/Dishnet,748372,12/1/2010
2011,January,Himachal Pradesh,wireless,Aircel/Dishnet,757951,1/1/2011
2011,February,Himachal Pradesh,wireless,Aircel/Dishnet,706710,2/1/2011
2011,March,Himachal Pradesh,wireless,Aircel/Dishnet,745994,3/1/2011
2011,April,Himachal Pradesh,wireless,Aircel/Dishnet,761224,4/1/2011
2011,May,Himachal Pradesh,wireless,Aircel/Dishnet,522099,5/1/2011
2010,February,Jammu and Kashmir,wireless,Aircel/Dishnet,1794519,2/1/2010
2010,March,Jammu and Kashmir,wireless,Aircel/Dishnet,1856598,3/1/2010
2010,April,Jammu and Kashmir,wireless,Aircel/Dishnet,1749089,4/1/2010
2010,May,Jammu and Kashmir,wireless,Aircel/Dishnet,1805681,5/1/2010
2010,June,Jammu and Kashmir,wireless,Aircel/Dishnet,1848092,6/1/2010
2010,July,Jammu and Kashmir,wireless,Aircel/Dishnet,1540058,7/1/2010
2010,August,Jammu and Kashmir,wireless,Aircel/Dishnet,1547375,8/1/2010
2010,September,Jammu and Kashmir,wireless,Aircel/Dishnet,1544931,9/1/2010
2010,October,Jammu and Kashmir,wireless,Aircel/Dishnet,1518884,10/1/2010
2010,November,Jammu and Kashmir,wireless,Aircel/Dishnet,1559086,11/1/2010
2010,December,Jammu and Kashmir,wireless,Aircel/Dishnet,1627640,12/1/2010
2011,January,Jammu and Kashmir,wireless,Aircel/Dishnet,1659971,1/1/2011
2011,February,Jammu and Kashmir,wireless,Aircel/Dishnet,1686657,2/1/2011
2011,March,Jammu and Kashmir,wireless,Aircel/Dishnet,1742815,3/1/2011
2011,April,Jammu and Kashmir,wireless,Aircel/Dishnet,1710456,4/1/2011
2011,May,Jammu and Kashmir,wireless,Aircel/Dishnet,1690960,5/1/2011
2010,February,Karnataka,wireless,Aircel/Dishnet,699911,2/1/2010
2010,March,Karnataka,wireless,Aircel/Dishnet,766765,3/1/2010
2010,April,Karnataka,wireless,Aircel/Dishnet,825535,4/1/2010
2010,May,Karnataka,wireless,Aircel/Dishnet,905887,5/1/2010
2010,June,Karnataka,wireless,Aircel/Dishnet,956069,6/1/2010
2010,July,Karnataka,wireless,Aircel/Dishnet,1135510,7/1/2010
2010,August,Karnataka,wireless,Aircel/Dishnet,1221544,8/1/2010
2010,September,Karnataka,wireless,Aircel/Dishnet,1274713,9/1/2010
2010,October,Karnataka,wireless,Aircel/Dishnet,1313178,10/1/2010
2010,November,Karnataka,wireless,Aircel/Dishnet,1378051,11/1/2010
2010,December,Karnataka,wireless,Aircel/Dishnet,1429830,12/1/2010
2011,January,Karnataka,wireless,Aircel/Dishnet,1517286,1/1/2011
2011,February,Karnataka,wireless,Aircel/Dishnet,1563988,2/1/2011
2011,March,Karnataka,wireless,Aircel/Dishnet,1624583,3/1/2011
2011,April,Karnataka,wireless,Aircel/Dishnet,1667891,4/1/2011
2011,May,Karnataka,wireless,Aircel/Dishnet,1718814,5/1/2011
2010,February,Kerala,wireless,Aircel/Dishnet,1051163,2/1/2010
2010,March,Kerala,wireless,Aircel/Dishnet,1216806,3/1/2010
2010,April,Kerala,wireless,Aircel/Dishnet,1292054,4/1/2010
2010,May,Kerala,wireless,Aircel/Dishnet,1380098,5/1/2010
2010,June,Kerala,wireless,Aircel/Dishnet,1451172,6/1/2010
2010,July,Kerala,wireless,Aircel/Dishnet,1522326,7/1/2010
2010,August,Kerala,wireless,Aircel/Dishnet,1613411,8/1/2010
2010,September,Kerala,wireless,Aircel/Dishnet,1740945,9/1/2010
2010,October,Kerala,wireless,Aircel/Dishnet,1769742,10/1/2010
2010,November,Kerala,wireless,Aircel/Dishnet,1808038,11/1/2010
2010,December,Kerala,wireless,Aircel/Dishnet,1916490,12/1/2010
2011,January,Kerala,wireless,Aircel/Dishnet,1982342,1/1/2011
2011,February,Kerala,wireless,Aircel/Dishnet,2009295,2/1/2011
2011,March,Kerala,wireless,Aircel/Dishnet,2112495,3/1/2011
2011,April,Kerala,wireless,Aircel/Dishnet,2188079,4/1/2011
2011,May,Kerala,wireless,Aircel/Dishnet,2303040,5/1/2011
2010,February,Kolkata,wireless,Aircel/Dishnet,1207999,2/1/2010
2010,March,Kolkata,wireless,Aircel/Dishnet,1252931,3/1/2010
2010,April,Kolkata,wireless,Aircel/Dishnet,1296105,4/1/2010
2010,May,Kolkata,wireless,Aircel/Dishnet,1362341,5/1/2010
2010,June,Kolkata,wireless,Aircel/Dishnet,1412649,6/1/2010
2010,July,Kolkata,wireless,Aircel/Dishnet,1450721,7/1/2010
2010,August,Kolkata,wireless,Aircel/Dishnet,1495788,8/1/2010
2010,September,Kolkata,wireless,Aircel/Dishnet,1540301,9/1/2010
2010,October,Kolkata,wireless,Aircel/Dishnet,1577855,10/1/2010
2010,November,Kolkata,wireless,Aircel/Dishnet,1576371,11/1/2010
2010,December,Kolkata,wireless,Aircel/Dishnet,1619342,12/1/2010
2011,January,Kolkata,wireless,Aircel/Dishnet,1683947,1/1/2011
2011,February,Kolkata,wireless,Aircel/Dishnet,1711655,2/1/2011
2011,March,Kolkata,wireless,Aircel/Dishnet,1760820,3/1/2011
2011,April,Kolkata,wireless,Aircel/Dishnet,1552925,4/1/2011
2011,May,Kolkata,wireless,Aircel/Dishnet,1611339,5/1/2011
2010,February,Madhya Pradesh,wireless,Aircel/Dishnet,17976,2/1/2010
2010,March,Madhya Pradesh,wireless,Aircel/Dishnet,17976,3/1/2010
2010,April,Madhya Pradesh,wireless,Aircel/Dishnet,17976,4/1/2010
2010,May,Madhya Pradesh,wireless,Aircel/Dishnet,17976,5/1/2010
2010,June,Madhya Pradesh,wireless,Aircel/Dishnet,17976,6/1/2010
2010,July,Madhya Pradesh,wireless,Aircel/Dishnet,98910,7/1/2010
2010,August,Madhya Pradesh,wireless,Aircel/Dishnet,189752,8/1/2010
2010,September,Madhya Pradesh,wireless,Aircel/Dishnet,289114,9/1/2010
2010,October,Madhya Pradesh,wireless,Aircel/Dishnet,350764,10/1/2010
2010,November,Madhya Pradesh,wireless,Aircel/Dishnet,431553,11/1/2010
2010,December,Madhya Pradesh,wireless,Aircel/Dishnet,570667,12/1/2010
2011,January,Madhya Pradesh,wireless,Aircel/Dishnet,640384,1/1/2011
2011,February,Madhya Pradesh,wireless,Aircel/Dishnet,715792,2/1/2011
2011,March,Madhya Pradesh,wireless,Aircel/Dishnet,672860,3/1/2011
2011,April,Madhya Pradesh,wireless,Aircel/Dishnet,714055,4/1/2011
2011,May,Madhya Pradesh,wireless,Aircel/Dishnet,728253,5/1/2011
2010,February,Maharashtra,wireless,Aircel/Dishnet,279055,2/1/2010
2010,March,Maharashtra,wireless,Aircel/Dishnet,370577,3/1/2010
2010,April,Maharashtra,wireless,Aircel/Dishnet,420987,4/1/2010
2010,May,Maharashtra,wireless,Aircel/Dishnet,506374,5/1/2010
2010,June,Maharashtra,wireless,Aircel/Dishnet,600793,6/1/2010
2010,July,Maharashtra,wireless,Aircel/Dishnet,645930,7/1/2010
2010,August,Maharashtra,wireless,Aircel/Dishnet,736103,8/1/2010
2010,September,Maharashtra,wireless,Aircel/Dishnet,786126,9/1/2010
2010,October,Maharashtra,wireless,Aircel/Dishnet,811931,10/1/2010
2010,November,Maharashtra,wireless,Aircel/Dishnet,858589,11/1/2010
2010,December,Maharashtra,wireless,Aircel/Dishnet,907715,12/1/2010
2011,January,Maharashtra,wireless,Aircel/Dishnet,948090,1/1/2011
2011,February,Maharashtra,wireless,Aircel/Dishnet,1048555,2/1/2011
2011,March,Maharashtra,wireless,Aircel/Dishnet,961237,3/1/2011
2011,April,Maharashtra,wireless,Aircel/Dishnet,1028354,4/1/2011
2011,May,Maharashtra,wireless,Aircel/Dishnet,990936,5/1/2011
2010,February,Mumbai,wireless,Aircel/Dishnet,862325,2/1/2010
2010,March,Mumbai,wireless,Aircel/Dishnet,903357,3/1/2010
2010,April,Mumbai,wireless,Aircel/Dishnet,956585,4/1/2010
2010,May,Mumbai,wireless,Aircel/Dishnet,998229,5/1/2010
2010,June,Mumbai,wireless,Aircel/Dishnet,1078588,6/1/2010
2010,July,Mumbai,wireless,Aircel/Dishnet,1164932,7/1/2010
2010,August,Mumbai,wireless,Aircel/Dishnet,1231333,8/1/2010
2010,September,Mumbai,wireless,Aircel/Dishnet,1273102,9/1/2010
2010,October,Mumbai,wireless,Aircel/Dishnet,1329692,10/1/2010
2010,November,Mumbai,wireless,Aircel/Dishnet,1392704,11/1/2010
2010,December,Mumbai,wireless,Aircel/Dishnet,1413126,12/1/2010
2011,January,Mumbai,wireless,Aircel/Dishnet,1474999,1/1/2011
2011,February,Mumbai,wireless,Aircel/Dishnet,1345137,2/1/2011
2011,March,Mumbai,wireless,Aircel/Dishnet,1175693,3/1/2011
2011,April,Mumbai,wireless,Aircel/Dishnet,1176967,4/1/2011
2011,May,Mumbai,wireless,Aircel/Dishnet,1141044,5/1/2011
2010,February,North East,wireless,Aircel/Dishnet,1656676,2/1/2010
